Question,Response
What are some keywords associated with the paper 'Generation of multiple pharmacophore hypotheses using multiobjective optimisation techniques'?,"Some key words and phrases associated with the paper are Pharmacophore identification, Molecular overlay, Alignment, Evolutionary algorithms, MOGA, Multiobjective optimisation, Multiobjective genetic algorithm and Conformational analysis.."
What are some keywords associated with the paper 'Development and validation of computational models of cellular interaction'?,"Some key words and phrases associated with the paper are Computational biology, modelling, individual-based modelling, validation and prediction."
What is the abstract of the journal article'Assessing the conditions forin vivo electrical virtual biopsies in Barrett's oesophagus'?,"The abstract of the journal article titled 'Assessing the conditions forin vivo electrical virtual biopsies in Barrett's oesophagus' reads It has previously been shown that it is possible to differentiate between squamous and columnar epithelia in rat and resected human tissues using an impedance probe to make in vitro measurements. This probe can be passed down an endoscope allowing measurements to be made in patients. However, the probe emerges parallel to the oesophageal wall, with little room to manoeuvre. The conditions of control required to give reliable readings have been investigated. The importance of pressure applied and the angle of approach to the oesophagus was assessed. Pressures in the range 26.6 Pa to 46.3 kPa and angles in the range 15-90 degrees were considered. In in vitro studies it was observed that it was possible to obtain consistent readings with pressures greater than 2.9 kPa and with angles greater than 15 degrees between the probe and the oesophagus. These conditions can be achieved in vivo, and readings obtained from twelve patients are shown (45 readings on normal squamous, 34 on Barrett's oesophagus and 22 on stomach). At low frequencies (9.6-153.2 kHz), a Mann-Whitney test shows a significant difference (p&lt;0.001) when comparing the means from squamous and columnar, and also when readings from Barrett's and normal gastric epithelia are compared"
"What is the abstract of the journal article'Mk3.5: a modular, multi-frequency successor to the Mk3a EIS/EIT system'?","The abstract of the journal article titled 'Mk3.5: a modular, multi-frequency successor to the Mk3a EIS/EIT system' reads his paper describes the Sheffield Mk3.5 EIT/EIS system which measures both the real and imaginary part of impedance at 30 frequencies between 2 kHz and 1.6 MHz. The system uses eight electrodes with an adjacent drive/receive electrode data acquisition protocol. The system is modular, containing eight identical data acquisition boards, which contain DSPs to generate the drive frequencies and to perform the FFT used for demodulation. The current drive is in three sequentially applied packets, where each packet contains ten summed sine waves. The data acquisition system is interfaced to a host PC through an optically isolated high speed serial link (RS485) running at 2 Mbaud 12 Mbits s-1). Measurements on a saline filled tank show that the average signal to noise performance of the system is 40 dB measured across all frequencies and that this figure is independent of frequency of measurement. These results suggest that the current system is 10 dB better in absolute terms than the previous Sheffield (Mk3a) system."
What is the abstract of the journal article'Is the short-latency dopamine response too short to signal reward error?'?,"The abstract of the journal article titled 'Is the short-latency dopamine response too short to signal reward error?' reads Unexpected stimuli that are behaviourally significant have the capacity to elicit a short-latency, short-duration burst of firing in mesencephalic dopaminergic neurones. An influential interpretation of the experimental data that characterize this response proposes that dopaminergic neurones have a crucial role in reinforcement learning because they signal error in the prediction of future reward. In this article we propose a different functional role for this ‘short-latency dopamine response’ in the mechanisms that underlie associative learning. We suggest that the initial burst of dopaminergic-neurone firing could represent an essential component in the process of switching attentional and behavioural selections to unexpected, behaviourally important stimuli. This switching response could be a crucial prerequisite for associative learning and might be part of a general short-latency response that is mediated by catecholamines and prepares the organism for an appropriate reaction to biologically significant events.

Any act which in a given situation produces satisfaction becomes associated with that situation so that when the situation recurs the act is more likely than before to recur also. E.L. Thorndike (1911) ."
What is the abstract of the journal article'A computational model of action selection in the basal ganglia. I. A new functional anatomy'?,"The abstract of the journal article titled 'A computational model of action selection in the basal ganglia. I. A new functional anatomy' reads We present a biologically plausible model of processing intrinsic to the basal ganglia based on the computational premise that action selection is a primary role of these central brain structures. By encoding the propensity for selecting a given action in a scalar value (the salience), it is shown that action selection may be recast in terms of signal selection. The generic properties of signal selection are defined and neural networks for this type of computation examined. A comparison between these networks and basal ganglia anatomy leads to a novel functional decomposition of the basal ganglia architecture into 'selection' and 'control' pathways. The former pathway performs the selection per se via a feedforward off-centre on-surround network. The control pathway regulates the action of the selection pathway to ensure its effective operation, and synergistically complements its dopaminergic modulation. The model contrasts with the prevailing functional segregation of basal ganglia into 'direct' and 'indirect' pathways."
What is the abstract of the journal article'A computational model of action selection in the basal ganglia. II. Analysis and simulation of behaviour'?,"The abstract of the journal article titled 'A computational model of action selection in the basal ganglia. II. Analysis and simulation of behaviour' reads In a companion paper a new functional architecture was proposed for the basal ganglia based on the premise that these brain structures play a central role in behavioural action selection. The current paper quantitatively describes the properties of the model using analysis and simulation. The decomposition of the basal ganglia into selection and control pathways is supported in several ways. First, several elegant features are exposed - capacity scaling, enhanced selectivity and synergistic dopamine modulation -which might be expected to exist in a well designed action selection mechanism. The discovery of these features also lends support to the computational premise of selection that underpins our model. Second, good matches between model globus pallidus external segment output and globus pallidus internal segment and substantia nigra reticulata area output, and neurophysiological data, have been found which are indicative of common architectural features in the model and biological basal ganglia. Third, the behaviour of the model as a signal selection mechanism has parallels with some kinds of action selection observed in animals under various levels of dopaminergic modulation."
What is the abstract of the journal article'Computational models of collective foraging'?,The abstract of the journal article titled 'Computational models of collective foraging' reads In this paper the behaviour of a bee colony is modelled as society of communicating agents acting in parallel and synchronising their behaviour. Two computational approaches for defining the agents behaviour are introduced and compared. Their common features as well as the complementary aspects making them suitable for merging together into a more complex model. Copyright © 2001 Elsevier Science Ireland Ltd.
What is the abstract of the journal article'Modelled current distribution in cervical squamous tissue'?,"The abstract of the journal article titled 'Modelled current distribution in cervical squamous tissue' reads The electrical properties of cervical squamous epithelium have been modelled in the frequency range 100 Hz to 10 MHz. The hierarchical modelling process comprises a cellular level stage, which includes detailed models of cells typical of different depths within the epithelium and a tissue model, which utilizes electrical properties obtained from the cellular models. The fit between the modelled and measured impedance spectra and the distribution of current with depth depends on the macroscopic model structure. Both the properties of the basement membrane and the presence of a surface mucus layer are shown to have a significant effect. The best fit with measured data is obtained when a 10 microm thick, high-conductivity surface layer is included in the tissue model."
What is the abstract of the journal article'The basal ganglia: A vertebrate solution to the selection problem?'?,"The abstract of the journal article titled 'The basal ganglia: A vertebrate solution to the selection problem?' reads A selection problem arises whenever two or more competing systems seek simultaneous access
to a restricted resource. Consideration of several selection architectures suggests there are significant
advantages for systems which incorporate a central switching mechanism. We propose that the vertebrate
basal ganglia have evolved as a centralized selection device, specialized to resolve conflicts over access to
limited motor and cognitive resources. Analysis of basal ganglia functional architecture and its position
within a wider anatomical framework suggests it can satisfy many of the requirements expected of an
efficient selection mechanism."
What is the abstract of the journal article'Virtual Biopsies in Barrett's Esophagus Using an Impedance Probe'?,"The abstract of the journal article titled 'Virtual Biopsies in Barrett's Esophagus Using an Impedance Probe' reads <jats:p><jats:bold>A<jats:sc>bstract</jats:sc>: </jats:bold> Preliminary results of electrical impedance measurements in squamous and columnar epithelia in rat and human tissues are presented. The aim of this work is to show the possibility of differentiating these two types of epithelia in terms of their electrical characteristics. For the measurements, we employed a 1.95m‐long, 3.2‐mm‐diameter, four‐electrode probe designed to be used transendoscopically in the diagnosis of Barrett's esophagus (BE). BE is a condition in which the normal squamous epithelium of the esophagus is replaced by columnar epithelium of the intestinal type. This metaplasia is considered as a premalignant condition that puts patients at a 30‐125‐fold risk of developing adenocarcinoma of the esophagus. The diagnosis and surveillance of BE involve taking multiple biopsies, an expensive and time‐consuming procedure. This study constitutes the first stage in the replacement of tissue biopsy by “virtual biopsies”.</jats:p>"
What is the abstract of the journal article'Neonatal lungs-can absolute lung resistivity be determined non-invasively?'?,"The abstract of the journal article titled 'Neonatal lungs-can absolute lung resistivity be determined non-invasively?' reads The electrical resistivity of lung tissue can be related to the structure and composition of the tissue and also to the air content. Conditions such as pulmonary oedema and emphysema have been shown to change lung resistivity. However, direct access to the lungs to enable resistivity to be measured is very difficult. We have developed a new method of using electrical impedance tomographic (EIT) measurements on a group of 142 normal neonates to determine the absolute resistivity of lung tissue. The methodology involves comparing the measured EIT data with that from a finite difference model of the thorax in which lung tissue resistivity can be changed. A mean value of 5.7±1.7 Ωm was found over the frequency range 4 kHz to 813 kHz. This value is lower than that usually given for adult lung tissue but consistent with the literature on the composition of the neonatal lung and with structural modelling."
What is the abstract of the journal article'Electrical impedance spectroscopy and the diagnosis of bladder pathology: A pilot study'?,"The abstract of the journal article titled 'Electrical impedance spectroscopy and the diagnosis of bladder pathology: A pilot study' reads Purpose: Carcinoma in situ is an aggressive form of bladder cancer with a high propensity for invasion if left untreated. On cystoscopy these flat lesions cannot be differentiated from other erythematous, potentially benign areas and they require biopsy for definitive diagnosis. Other methods of detecting carcinoma in situ remain experimental. We assessed the effectiveness of electrical impedance spectroscopy, a method that measures the variation of electrical current flow with frequency through the mucosa, for differentiating various pathological changes in the urothelium. Materials and Methods: We obtained 250 impedance measurements immediately after resection in 35 cystectomy specimens using a custom designed probe. Three consecutive readings were recorded per point to assess reproducibility and punch biopsy was done at the measurement site. Results: Changes in the urothelium were classified histologically into 7 subgroups according to the degree of edema and inflammation. Electrical impedance spectroscopy measurements were able to separate benign and malignant changes when tested as a group (p<0.001), although some individual points overlapped. Edema also had a significant effect on tissue impedance (p<0.001). Conclusions: Using measurements we established patterns of electrical impedance in the human bladder. Early results suggest that this minimally invasive technique is able to differentiate benign and malignant bladder pathologies. However, it requires further refinement and evaluation at lower frequencies, where the greatest impedance difference in benign and malignant tissues is expected."
What is the abstract of the journal article'Neonatal lungs: Maturational changes in lung resistivity spectra'?,"The abstract of the journal article titled 'Neonatal lungs: Maturational changes in lung resistivity spectra' reads The electrical resistivity of lung tissue can be related to the structure and composition of the tissue and also to the air content. Electrical impedance tomographic measurements have been used on 155 normal children over the first three years of life and 25 pre-term infants, to determine the absolute resistivity of lung tissue as a function of frequency. The results show consistent changes with increasing age in both lung tissue resistivity (5.8 Ωm at birth to 20.9 Ωm at 3 years of age) and in the changes of resistivity with frequency (Cole parameter ratio R/S = 0.41 at birth and 0.84 at 3 years of age). Comparison with a lung model showed that the measurements are consistent with maturational changes in the number and size of alveoli, the extracapillary blood volume and the size of the extracapillary vessels. However, the results show that the process of maturation is not complete at the age of three years."
What is the abstract of the journal article'Protein structures and information extraction from biological texts: The PASTA system'?,"The abstract of the journal article titled 'Protein structures and information extraction from biological texts: The PASTA system' reads Motivation: The rapid increase in volume of protein structure literature means useful information may be hidden or lost in the published literature and the process of finding relevant material, sometimes the rate-determining factor in new research, may be arduous and slow. Results: We describe the Protein Active Site Template Acquisition (PASTA) system, which addresses these problems by performing automatic extraction of information relating to the roles of specific amino acid residues in protein molecules from online scientific articles and abstracts. Both the terminology recognition and extraction capabilities of the system have been extensively evaluated against manually annotated data and the results compare favourably with state-of-the-art results obtained in less challenging domains. PASTA is the first information extraction (IE) system developed for the protein structure domain and one of the most thoroughly evaluated IE system operating on biological scientific text to date."
"What is the abstract of the journal article'A hybrid machine model of rice blast fungus, Magnaporthe grisea'?","The abstract of the journal article titled 'A hybrid machine model of rice blast fungus, Magnaporthe grisea' reads The fungus, Magnaporthe grisea (Rice blast fungus) is a major agricultural problem affecting rice and related food crops. The way that the fungus invades the host plant and propagates itself is a very important scientific problem and recent advances in research into the genetic basis of these processes can be used to build a simple partial model using hybrid computational modelling techniques. The possible potential benefits of doing this include the use of computer simulation and automated analysis through techniques such as model checking to understand the complex behaviour of such systems. The example is a metaphor for the process of trying to integrate and understand much of the vast amounts of genomic and other data that is being produced in current molecular biology research. © 2002 Elsevier Science Ireland Ltd. All rights reserved."
What is the abstract of the journal article'A study of the morphological parameters of cervical squamous epithelium'?,"The abstract of the journal article titled 'A study of the morphological parameters of cervical squamous epithelium' reads Electrical impedance spectroscopy is a technique that has been investigated as a potential method for the diagnosis of epithelial carcinomas. Finite element modelling can provide an insight into the patterns of current flow in normal and pathological epithelium and hence aid in the process of probe design optimization. In order to develop a finite element model of the structure of normal and precancerous cervical squamous epithelium, it was first necessary to obtain the mean values and ranges of a number of morphological tissue parameters. The most important parameters in discriminating normal from neoplastic tissue were identified as being cell size and shape distribution, nuclear-to-cytoplasmic volume ratio and volume of extracellular space. A survey of the literature revealed an absence of reliable quantitative data for these parameters. We therefore present the results of our own basic image analysis on normal and pathological tissue sections, which we hope will be of use to other workers wishing to model cervical squamous epithelium, or other similar tissue structures."
,
What is the abstract of the journal article'A Probabilistic Model for the Extraction of Expression Levels from Oligonucleotide Arrays'?,"The abstract of the journal article titled 'A Probabilistic Model for the Extraction of Expression Levels from Oligonucleotide Arrays' reads In this work we present a probabilistic model to estimate summaries of Affymetrix GeneChip probe level data. Comparisons with two different models were made both on a publicly available dataset and on a study performed in our laboratory, showing that our model performs better for consistency of fold change."
What is the abstract of the journal article'Filament behavior in a computational model of ventricular fibrillation in the canine heart'?,"The abstract of the journal article titled 'Filament behavior in a computational model of ventricular fibrillation in the canine heart' reads The aim of this paper was to quantify the behavior of filaments in a computational model of re-entrant ventricular fibrillation. We simulated cardiac activation in an anisotropic monodomain with excitation described by the Fenton-Karma model with Beeler-Reuter restitution, and geometry by the Auckland canine ventricle. We initiated re-entry in the left and right ventricular free walls, as well as the septum. The number of filaments increased during the first 1.5 s before reaching a plateau with a mean value of about 36 in each simulation. Most re-entrant filaments were between 10 and 20 mm long. The proportion of filaments touching the epicardial surface was 65%, but most of these were visible for much less than one period of re-entry. This paper shows that useful information about filament dynamics can be gleaned from models of fibrillation in complex geometries, and suggests that the interplay of filament creation and destruction may offer a target for antifibrillatory therapy"
What is the abstract of the journal article'Reducing the Variability in cDNA Microarray Image Processing by Bayesian Inference'?,"The abstract of the journal article titled 'Reducing the Variability in cDNA Microarray Image Processing by Bayesian Inference' reads Motivation: Gene expression levels are obtained from microarray experiments through the extraction of pixel intensities from a scanned image of the slide. It is widely acknowledged that variabilities can occur in expression levels extracted from the same images by different users with the same software packages. These inconsistencies arise due to differences in the refinement of the placement of the microarray ‘grids’. We introduce a novel automated approach to the refinement of grid placements that is based upon the use of Bayesian inference for determining the size, shape and positioning of the microarray ‘spots’, capturing uncertainty that can be passed to downstream analysis.

Results: Our experiments demonstrate that variability between users can be significantly reduced using the approach. The automated nature of the approach also saves hours of researchers’ time normally spent in refining the grid placement.

Availability: A MATLAB implementation of the algorithm and tiff images of the slides used in our experiments, as well as the code necessary to recreate them are available for non-commercial use from http://www.dcs.shef.ac.uk/~neil/VIS"
